gpu_name,each_gpu_memory,gpu_count,batch_size,epoch,train_loss,train_acc,val_loss,val_acc,epoch_train_time,train_throughput,gpu_util,mem_util
Tesla P100-PCIE-12GB,12194MB,1,64,1,0.5979086118928173,0.831470027909558,0.33803984267269277,0.8994622049596653,14.226664781570435,13171.815241106322,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,2,0.30173929547074707,0.9063722377275323,0.28593583464824324,0.9120605517378747,13.868214845657349,13512.265427491488,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,3,0.2530818154694826,0.9198734197480135,0.26875912479202224,0.9177621750821632,13.877411365509033,13503.310888783066,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,4,0.2208171740513681,0.9282516236105256,0.23623840594692969,0.926750323672941,13.82922649383545,13550.360179835936,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,5,0.1960740174498746,0.9348474579889109,0.23362770557741924,0.9278458320884374,13.808789730072021,13570.414472450848,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,6,0.17885898321219862,0.9391753072452785,0.22844495487847113,0.9306841948013146,13.815699338912964,13563.627537275586,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,7,0.16336928627808037,0.9437326232316386,0.24508055996792735,0.9262025694651927,13.796156883239746,13582.840611768619,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,8,0.1522115466342029,0.9475001467519785,0.23265018032824966,0.9314062344388009,13.79890751838684,13580.133046786803,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,9,0.14188669618731856,0.9502217288983996,0.23143349361305704,0.9331739866547156,13.80249810218811,13576.60030906238,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,10,0.13318452300767228,0.9524256767934426,0.23641994389544063,0.9310078677422567,13.79176926612854,13587.161761777512,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,11,0.12515646331924135,0.9548804371608028,0.24113074602026255,0.9342196992331441,13.797730684280396,13581.29132158613,18.0,6.383260250091553
Tesla P100-PCIE-12GB,12194MB,1,64,12,0.11858252475638431,0.9574259169330438,0.24454224656960508,0.9326760282840355,13.807974576950073,13571.215601223334,18.0,6.383260250091553
